 Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2017","Salmonellosis, Cum 2017, flag","Salmonellosis, Cum 2016","Salmonellosis, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2017","Shiga toxin-producing E. coli (STEC)§, Cum 2017, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2017","Shigellosis, Cum 2017, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag",Location 1,Location 2
NEVADA,2017,28,1,,3,,9,,80,,103,,,-,0,,4,,8,,31,,,-,1,,10,,22,,21,,NEVADA,
WASHINGTON,2017,15,8,,13,,72,,130,,119,,,-,1,,34,,11,,20,,2,,2,,23,,39,,42,,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2017,15,15,,50,,123,,335,,434,,,-,8,,26,,74,,70,,1,,14,,48,,96,,283,,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,15,18,,16,,42,,164,,181,,8,,6,,19,,49,,38,,3,,8,,47,,80,,310,,"MISSOURI
(38.636168, -92.566292)",
CONNECTICUT,2017,15,1,,9,,22,,72,,88,,,-,1,,6,,8,,61,,1,,1,,4,,16,,7,,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2017,15,1,,6,,17,,46,,58,,,-,1,,5,,7,,5,,,-,3,,22,,34,,13,,"NEW MEXICO
(34.520396, -106.244402)",
NORTH CAROLINA,2017,15,,-,28,,93,,172,,290,,,-,1,,5,,10,,11,,,-,9,,28,,53,,86,,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2017,15,,-,14,,32,,71,,128,,,-,1,,8,,8,,19,,,-,4,,16,,22,,86,,"INDIANA
(39.76845, -86.156212)",
KANSAS,2017,15,2,,8,,27,,72,,74,,,-,2,,19,,8,,19,,,-,4,,15,,44,,106,,"KANSAS
(38.345528, -98.201847)",
ALASKA,2017,15,,-,1,,5,,11,,18,,,-,0,,3,,1,,5,,,-,0,,1,,5,,1,,"ALASKA
(64.836661, -147.738891)",
FLORIDA,2017,15,,-,110,,211,,634,,1031,,,-,0,,0,,,-,,-,,-,13,,32,,110,,173,,"FLORIDA
(28.915325, -81.922409)",
NEBRASKA,2017,15,4,,5,,14,,60,,47,,,-,2,,9,,18,,22,,,-,2,,14,,7,,59,,"NEBRASKA
(41.640503, -99.367122)",
GUAM,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WEST VIRGINIA,2017,15,,-,3,,10,,12,,36,,,-,0,,3,,,-,4,,,-,0,,2,,1,,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
MARYLAND,2017,15,8,,14,,37,,145,,161,,1,,1,,5,,17,,19,,3,,3,,8,,53,,41,,"MARYLAND
(39.290443, -76.612333)",
LOUISIANA,2017,15,7,,25,,53,,124,,223,,,-,0,,2,,2,,6,,1,,7,,22,,52,,108,,"LOUISIANA
(31.2931, -92.463284)",
VERMONT,2017,15,,-,2,,10,,13,,19,,,-,0,,2,,1,,4,,,-,0,,2,,9,,,-,"VERMONT
(43.622479, -72.51927)",
C.N.M.I.,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OREGON,2017,15,2,,8,,23,,83,,89,,1,,4,,12,,47,,30,,1,,1,,4,,26,,65,,"OREGON
(44.567912, -120.156945)",
NEW HAMPSHIRE,2017,15,,-,3,,10,,23,,30,,,-,0,,4,,5,,4,,,-,0,,3,,5,,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
HAWAII,2017,15,,-,5,,16,,48,,68,,,-,0,,3,,10,,5,,,-,0,,5,,6,,10,,"HAWAII
(21.30992, -157.858158)",
NEW JERSEY,2017,15,,-,14,,55,,65,,164,,,-,2,,7,,20,,31,,,-,5,,11,,61,,69,,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2017,15,2,,91,,152,,756,,1051,,,-,16,,39,,99,,188,,7,,40,,70,,441,,437,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH CAROLINA,2017,15,2,,25,,78,,162,,172,,,-,0,,4,,6,,12,,1,,4,,10,,54,,90,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2017,15,,-,13,,58,,122,,145,,,-,3,,21,,15,,30,,,-,4,,16,,22,,235,,"IOWA
(42.46942, -93.815856)",
UTAH,2017,15,2,,5,,11,,81,,100,,,-,2,,5,,7,,9,,,-,1,,5,,10,,25,,"UTAH
(39.359772, -111.584173)",
ARIZONA,2017,15,12,,16,,34,,190,,172,,3,,2,,8,,35,,33,,4,,16,,49,,107,,471,,"ARIZONA
(34.869712, -111.760902)",
RHODE ISLAND,2017,15,,-,2,,6,,14,,13,,,-,0,,2,,2,,1,,,-,0,,4,,5,,8,,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGIN ISL.,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WISCONSIN,2017,15,,-,13,,30,,15,,213,,,-,2,,13,,2,,44,,,-,9,,39,,105,,312,,"WISCONSIN
(44.395526, -89.834513)",
ARKANSAS,2017,15,4,,14,,45,,80,,69,,,-,2,,7,,10,,12,,3,,3,,14,,71,,48,,"ARKANSAS
(34.748745, -92.275105)",
NEVADA,2017,15,,-,3,,9,,28,,43,,,-,1,,4,,7,,13,,,-,1,,10,,11,,13,,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2017,15,,-,32,,64,,156,,352,,,-,3,,62,,10,,39,,,-,9,,22,,53,,177,,"ILLINOIS
(40.477092, -88.993221)",
OHIO,2017,15,20,,26,,68,,242,,300,,3,,4,,14,,38,,30,,7,,18,,30,,207,,390,,"OHIO
(40.056807, -82.405897)",
TEXAS,2017,15,,-,104,,312,,492,,741,,,-,18,,104,,94,,136,,3,,66,,137,,317,,1254,,"TEXAS
(31.827233, -99.423022)",
NORTH DAKOTA,2017,15,,-,2,,10,,18,,31,,1,,0,,3,,11,,7,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
MASSACHUSETTS,2017,15,,-,22,,52,,188,,211,,,-,2,,7,,29,,23,,,-,3,,8,,43,,49,,"MASSACHUSETTS
(42.268546, -72.085064)",
GEORGIA,2017,15,,-,42,,160,,277,,298,,,-,2,,9,,24,,15,,,-,11,,29,,111,,224,,"GEORGIA
(32.836038, -83.631709)",
ALABAMA,2017,15,,-,25,,48,,144,,234,,,-,0,,3,,5,,9,,1,,3,,9,,55,,117,,"ALABAMA
(32.839182, -86.631125)",
WYOMING,2017,15,,-,1,,5,,9,,10,,,-,0,,2,,1,,1,,,-,0,,1,,1,,2,,"WYOMING
(43.23558, -108.110518)",
UNITED STATES,2017,16,234,,874,,1630,,7407,,9305,,29,,131,,245,,981,,1331,,75,,351,,476,,3226,,5991,,,
NEW ENGLAND,2017,16,10,,39,,79,,368,,429,,,-,5,,16,,60,,104,,,-,6,,13,,84,,74,,,
MID. ATLANTIC,2017,16,37,,84,,198,,729,,852,,9,,13,,31,,143,,161,,16,,26,,52,,300,,437,,,
NEW YORK CITY,2017,16,14,,19,,42,,211,,170,,4,,3,,9,,35,,22,,10,,8,,17,,120,,128,,,
E.N. CENTRAL,2017,16,21,,76,,151,,747,,986,,2,,11,,76,,92,,154,,7,,41,,78,,524,,753,,,
W.N. CENTRAL,2017,16,40,,48,,202,,538,,572,,8,,16,,51,,121,,146,,13,,19,,70,,177,,751,,,
S. ATLANTIC,2017,16,26,,225,,503,,1915,,2380,,2,,8,,21,,79,,99,,9,,53,,84,,579,,814,,,
E.S. CENTRAL,2017,16,19,,68,,207,,505,,766,,1,,6,,13,,49,,67,,4,,16,,28,,257,,254,,,
W.S. CENTRAL,2017,16,25,,167,,385,,857,,1225,,5,,24,,137,,130,,173,,19,,79,,178,,537,,1704,,,
MOUNTAIN,2017,16,42,,53,,97,,631,,643,,2,,15,,32,,120,,163,,4,,28,,55,,226,,611,,,
PACIFIC,2017,16,14,,121,,188,,1117,,1452,,,-,23,,63,,187,,264,,3,,45,,77,,542,,593,,,
AMER. SAMOA,2017,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
OREGON,2017,16,,-,8,,23,,85,,101,,,-,4,,12,,48,,31,,,-,1,,4,,27,,67,,"OREGON
(44.567912, -120.156945)",
COLORADO,2017,16,20,,12,,33,,161,,142,,,-,4,,11,,15,,47,,,-,4,,16,,50,,30,,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2017,16,12,,16,,34,,205,,188,,1,,3,,8,,36,,36,,2,,16,,45,,110,,492,,"ARIZONA
(34.869712, -111.760902)",
MISSISSIPPI,2017,16,5,,19,,57,,126,,143,,,-,0,,2,,4,,6,,,-,2,,5,,36,,17,,"MISSISSIPPI
(32.738663, -89.537312)",
DELAWARE,2017,16,,-,2,,17,,11,,16,,,-,0,,2,,1,,3,,,-,1,,6,,17,,7,,"DELAWARE
(39.008676, -75.574561)",
VIRGINIA,2017,16,11,,21,,46,,141,,196,,1,,2,,8,,22,,31,,5,,4,,14,,41,,132,,"VIRGINIA
(37.542699, -78.45822)",
NEW YORK,2017,16,12,,25,,65,,226,,246,,2,,4,,15,,39,,60,,3,,4,,12,,52,,47,,"NEW YORK
(42.826892, -75.544286)",
OKLAHOMA,2017,16,10,,16,,52,,125,,107,,2,,2,,29,,16,,10,,1,,5,,68,,29,,199,,"OKLAHOMA
(35.468494, -97.521264)",
NEW JERSEY,2017,16,,-,14,,55,,67,,171,,,-,2,,7,,20,,35,,,-,5,,11,,62,,70,,"NEW JERSEY
(40.104655, -74.386686)",
IOWA,2017,16,,-,13,,58,,139,,156,,,-,3,,21,,18,,33,,,-,4,,13,,26,,245,,"IOWA
(42.46942, -93.815856)",
MASSACHUSETTS,2017,16,4,,22,,52,,213,,235,,,-,2,,12,,38,,25,,,-,3,,8,,46,,55,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEVADA,2017,16,,-,3,,9,,29,,44,,,-,1,,4,,7,,14,,,-,1,,10,,11,,17,,"NEVADA
(39.491833, -117.070159)",
HAWAII,2017,16,,-,5,,16,,52,,70,,,-,0,,3,,11,,6,,,-,0,,5,,7,,11,,"HAWAII
(21.30992, -157.858158)",
ALASKA,2017,16,,-,1,,5,,11,,18,,,-,0,,3,,1,,5,,,-,0,,1,,5,,1,,"ALASKA
(64.836661, -147.738891)",
PUERTO RICO,2017,16,1,,11,,25,,105,,159,,,-,0,,0,,,-,,-,,-,0,,4,,2,,7,,"PUERTO RICO
(18.215692, -66.414655)",
MICHIGAN,2017,16,2,,17,,43,,182,,241,,,-,3,,14,,29,,41,,,-,12,,31,,110,,134,,"MICHIGAN
(44.66399, -84.711206)",
CONNECTICUT,2017,16,5,,9,,22,,88,,106,,,-,1,,7,,9,,66,,,-,1,,4,,16,,8,,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2017,16,12,,10,,35,,100,,180,,,-,1,,5,,7,,14,,3,,5,,14,,81,,61,,"KENTUCKY
(37.64591, -84.774043)",
RHODE ISLAND,2017,16,,-,2,,6,,14,,15,,,-,0,,2,,2,,1,,,-,0,,4,,5,,8,,"RHODE ISLAND
(41.707447, -71.522488)",
WYOMING,2017,16,2,,1,,5,,14,,14,,1,,0,,2,,2,,1,,,-,0,,1,,1,,2,,"WYOMING
(43.23558, -108.110518)",
MONTANA,2017,16,2,,3,,22,,34,,41,,,-,2,,15,,13,,17,,,-,0,,2,,,-,3,,"MONTANA
(47.062617, -109.430168)",
TEXAS,2017,16,,-,104,,332,,507,,802,,2,,18,,104,,99,,144,,13,,65,,138,,379,,1332,,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2017,16,6,,5,,14,,70,,51,,1,,2,,9,,21,,26,,1,,2,,12,,8,,69,,"NEBRASKA
(41.640503, -99.367122)",
C.N.M.I.,2017,16,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSOURI,2017,16,34,,17,,42,,206,,196,,7,,6,,19,,59,,45,,12,,8,,47,,92,,323,,"MISSOURI
(38.636168, -92.566292)",
ARKANSAS,2017,16,4,,14,,45,,86,,74,,1,,2,,7,,13,,13,,3,,3,,14,,74,,49,,"ARKANSAS
(34.748745, -92.275105)",
MINNESOTA,2017,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NORTH CAROLINA,2017,16,,-,28,,93,,177,,308,,,-,1,,5,,10,,11,,,-,9,,28,,53,,96,,"NORTH CAROLINA
(35.47995, -79.180571)",
GEORGIA,2017,16,,-,42,,160,,277,,341,,,-,2,,9,,24,,16,,,-,11,,29,,111,,240,,"GEORGIA
(32.836038, -83.631709)",
INDIANA,2017,16,,-,14,,32,,71,,135,,,-,1,,8,,8,,22,,,-,4,,16,,22,,90,,"INDIANA
(39.76845, -86.156212)",
OHIO,2017,16,19,,0,,25,,260,,,-,2,,0,,5,,40,,,-,3,,0,,30,,210,,,-,"OHIO
(40.056807, -82.405897)",
ALABAMA,2017,16,,-,25,,48,,144,,262,,,-,0,,3,,5,,9,,,-,3,,9,,59,,124,,"ALABAMA
(32.839182, -86.631125)",
DIST. OF COL.,2017,16,,-,0,,4,,,-,2,,,-,0,,1,,,-,2,,,-,0,,2,,,-,2,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2017,16,,-,25,,78,,162,,189,,,-,0,,4,,6,,12,,,-,4,,10,,54,,99,,"SOUTH CAROLINA
(34.009286, -81.037094)",
CALIFORNIA,2017,16,6,,91,,152,,831,,1126,,,-,16,,39,,116,,200,,3,,40,,70,,464,,467,,"CALIFORNIA
(37.640735, -121.002435)",
KANSAS,2017,16,,-,8,,27,,75,,83,,,-,2,,19,,8,,21,,,-,4,,16,,47,,108,,"KANSAS
(38.345528, -98.201847)",
MARYLAND,2017,16,15,,14,,37,,162,,175,,1,,1,,5,,16,,20,,4,,3,,8,,57,,44,,"MARYLAND
(39.290443, -76.612333)",
WISCONSIN,2017,16,,-,12,,32,,18,,225,,,-,3,,13,,3,,46,,4,,9,,36,,120,,330,,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2017,16,1,,2,,10,,14,,19,,,-,0,,2,,1,,4,,,-,0,,2,,10,,,-,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2017,16,,-,3,,10,,24,,34,,,-,0,,4,,6,,4,,,-,0,,3,,5,,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH DAKOTA,2017,16,,-,2,,10,,18,,35,,,-,0,,3,,11,,9,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2017,16,8,,13,,72,,138,,137,,,-,1,,36,,11,,22,,,-,2,,23,,39,,47,,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2017,16,11,,26,,66,,225,,265,,3,,4,,14,,49,,44,,3,,10,,30,,66,,192,,"PENNSYLVANIA
(40.789676, -77.858055)",
IDAHO,2017,16,6,,3,,10,,50,,39,,,-,3,,12,,33,,31,,,-,0,,3,,6,,27,,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2017,16,,-,32,,63,,216,,385,,,-,3,,62,,12,,45,,,-,9,,22,,62,,199,,"ILLINOIS
(40.477092, -88.993221)",
TENNESSEE,2017,16,2,,18,,107,,135,,181,,1,,3,,8,,33,,38,,1,,4,,13,,81,,52,,"TENNESSEE
(35.681402, -85.774444)",
SOUTH DAKOTA,2017,16,,-,3,,107,,30,,51,,,-,1,,9,,4,,12,,,-,0,,2,,4,,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
GUAM,2017,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
LOUISIANA,2017,16,11,,25,,53,,139,,242,,,-,0,,2,,2,,6,,2,,7,,22,,55,,124,,"LOUISIANA
(31.2931, -92.463284)",
FLORIDA,2017,16,,-,110,,211,,973,,1113,,,-,0,,0,,,-,,-,,-,16,,33,,245,,192,,"FLORIDA
(28.915325, -81.922409)",
MAINE,2017,16,,-,2,,7,,15,,20,,,-,0,,3,,4,,4,,,-,0,,1,,2,,,-,"MAINE
(45.252223, -68.986647)",
NEW MEXICO,2017,16,,-,6,,17,,51,,65,,,-,0,,5,,6,,6,,,-,3,,22,,36,,14,,"NEW MEXICO
(34.520396, -106.244402)",
UTAH,2017,16,,-,6,,11,,87,,110,,,-,2,,5,,8,,11,,2,,1,,5,,12,,26,,"UTAH
(39.359772, -111.584173)",
WEST VIRGINIA,2017,16,,-,3,,10,,12,,40,,,-,0,,3,,,-,4,,,-,0,,2,,1,,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
VIRGIN ISL.,2017,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
UNITED STATES,2017,17,315,,895,,1630,,8194,,10173,,25,,133,,257,,1070,,1449,,85,,362,,483,,3485,,6764,,,
NEW ENGLAND,2017,17,5,,24,,40,,383,,212,,,-,4,,14,,62,,81,,1,,3,,13,,87,,21,,,
MID. ATLANTIC,2017,17,66,,85,,198,,808,,930,,8,,14,,31,,153,,168,,12,,27,,53,,319,,481,,,
NEW YORK CITY,2017,17,28,,19,,42,,237,,191,,1,,3,,9,,36,,25,,8,,8,,17,,128,,136,,,
E.N. CENTRAL,2017,17,30,,103,,203,,832,,1428,,1,,15,,87,,93,,202,,10,,53,,104,,557,,1237,,,
W.N. CENTRAL,2017,17,30,,51,,200,,611,,612,,7,,17,,52,,143,,164,,2,,18,,70,,186,,776,,,
S. ATLANTIC,2017,17,101,,225,,503,,2205,,2564,,1,,8,,21,,94,,107,,29,,52,,84,,662,,859,,,
E.S. CENTRAL,2017,17,11,,68,,207,,526,,828,,,-,6,,13,,49,,69,,1,,16,,28,,273,,267,,,
W.S. CENTRAL,2017,17,30,,168,,534,,919,,1345,,1,,24,,138,,131,,197,,25,,77,,180,,577,,1836,,,
MOUNTAIN,2017,17,32,,55,,94,,695,,702,,6,,14,,34,,136,,177,,4,,30,,56,,242,,657,,,
PACIFIC,2017,17,10,,121,,188,,1215,,1552,,1,,23,,63,,209,,284,,1,,45,,77,,582,,630,,,
AMER. SAMOA,2017,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NORTH DAKOTA,2017,17,,-,2,,10,,27,,36,,,-,0,,3,,11,,10,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
OKLAHOMA,2017,17,10,,16,,52,,138,,118,,1,,2,,29,,17,,10,,2,,5,,68,,32,,210,,"OKLAHOMA
(35.468494, -97.521264)",
OHIO,2017,17,29,,25,,68,,289,,349,,1,,4,,14,,40,,39,,8,,18,,30,,218,,417,,"OHIO
(40.056807, -82.405897)",
WEST VIRGINIA,2017,17,,-,3,,10,,13,,44,,,-,0,,3,,,-,5,,,-,0,,2,,1,,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2017,17,12,,16,,34,,222,,203,,2,,3,,8,,37,,41,,,-,14,,45,,115,,528,,"ARIZONA
(34.869712, -111.760902)",
INDIANA,2017,17,,-,14,,32,,77,,156,,,-,1,,8,,8,,23,,,-,4,,16,,22,,96,,"INDIANA
(39.76845, -86.156212)",
UTAH,2017,17,1,,6,,11,,91,,117,,,-,1,,5,,12,,12,,,-,1,,5,,13,,26,,"UTAH
(39.359772, -111.584173)",
RHODE ISLAND,2017,17,1,,2,,6,,20,,15,,,-,0,,2,,2,,1,,,-,0,,4,,6,,8,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2017,17,,-,15,,55,,69,,186,,,-,3,,7,,22,,37,,,-,6,,12,,67,,82,,"NEW JERSEY
(40.104655, -74.386686)",
MARYLAND,2017,17,4,,14,,38,,165,,179,,,-,1,,5,,16,,20,,5,,3,,8,,63,,46,,"MARYLAND
(39.290443, -76.612333)",
WYOMING,2017,17,,-,1,,5,,14,,19,,,-,0,,2,,2,,1,,,-,0,,1,,1,,2,,"WYOMING
(43.23558, -108.110518)",
MINNESOTA,2017,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MISSISSIPPI,2017,17,9,,19,,57,,140,,162,,,-,0,,2,,3,,6,,,-,2,,5,,42,,19,,"MISSISSIPPI
(32.738663, -89.537312)",
SOUTH DAKOTA,2017,17,,-,3,,107,,30,,57,,,-,1,,9,,4,,16,,,-,0,,2,,4,,7,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MICHIGAN,2017,17,1,,18,,43,,212,,262,,,-,3,,14,,29,,44,,1,,12,,31,,130,,143,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH CAROLINA,2017,17,,-,25,,78,,162,,209,,,-,0,,4,,6,,13,,,-,3,,10,,54,,109,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH CAROLINA,2017,17,,-,28,,93,,180,,337,,,-,1,,5,,11,,13,,,-,9,,28,,63,,99,,"NORTH CAROLINA
(35.47995, -79.180571)",
ALABAMA,2017,17,,-,24,,48,,144,,276,,,-,0,,3,,5,,9,,,-,3,,9,,59,,127,,"ALABAMA
(32.839182, -86.631125)",
KENTUCKY,2017,17,,-,10,,35,,100,,188,,,-,1,,5,,7,,16,,1,,5,,14,,88,,63,,"KENTUCKY
(37.64591, -84.774043)",
NEW MEXICO,2017,17,,-,6,,17,,64,,70,,,-,0,,5,,7,,6,,,-,3,,22,,40,,17,,"NEW MEXICO
(34.520396, -106.244402)",
FLORIDA,2017,17,74,,110,,211,,1188,,1183,,,-,0,,0,,,-,,-,23,,16,,33,,299,,203,,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2017,17,,-,31,,63,,231,,418,,,-,3,,62,,13,,46,,1,,9,,21,,66,,220,,"ILLINOIS
(40.477092, -88.993221)",
COLORADO,2017,17,12,,13,,33,,173,,156,,2,,4,,11,,17,,52,,4,,4,,16,,54,,37,,"COLORADO
(38.841772, -106.132562)",
TENNESSEE,2017,17,2,,18,,107,,142,,202,,,-,3,,8,,34,,38,,,-,4,,13,,84,,58,,"TENNESSEE
(35.681402, -85.774444)",
VERMONT,2017,17,,-,2,,10,,15,,24,,,-,0,,2,,1,,5,,,-,0,,2,,10,,,-,"VERMONT
(43.622479, -72.51927)",
WISCONSIN,2017,17,,-,12,,32,,23,,243,,,-,3,,13,,3,,50,,,-,8,,36,,121,,361,,"WISCONSIN
(44.395526, -89.834513)",
ARKANSAS,2017,17,6,,14,,45,,97,,79,,,-,2,,7,,13,,15,,,-,3,,14,,74,,50,,"ARKANSAS
(34.748745, -92.275105)",
GUAM,2017,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
C.N.M.I.,2017,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
HAWAII,2017,17,,-,5,,16,,52,,70,,,-,0,,3,,11,,6,,,-,0,,5,,7,,11,,"HAWAII
(21.30992, -157.858158)",
MISSOURI,2017,17,20,,18,,42,,231,,214,,5,,6,,19,,70,,50,,2,,8,,47,,94,,339,,"MISSOURI
(38.636168, -92.566292)",
CALIFORNIA,2017,17,5,,92,,152,,921,,1194,,1,,16,,39,,127,,215,,,-,40,,70,,501,,498,,"CALIFORNIA
(37.640735, -121.002435)",
TEXAS,2017,17,1,,104,,481,,530,,899,,,-,18,,104,,99,,166,,22,,63,,140,,413,,1448,,"TEXAS
(31.827233, -99.423022)",
MASSACHUSETTS,2017,17,,-,0,,26,,213,,,-,,-,0,,12,,38,,,-,,-,0,,8,,46,,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
PENNSYLVANIA,2017,17,19,,26,,66,,257,,289,,2,,4,,14,,51,,45,,1,,9,,30,,69,,210,,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2017,17,1,,8,,27,,83,,91,,,-,2,,19,,11,,21,,,-,4,,17,,49,,114,,"KANSAS
(38.345528, -98.201847)",
MAINE,2017,17,2,,2,,7,,17,,21,,,-,0,,3,,4,,4,,1,,0,,1,,3,,,-,"MAINE
(45.252223, -68.986647)",
LOUISIANA,2017,17,13,,25,,53,,154,,249,,,-,0,,2,,2,,6,,1,,6,,22,,58,,128,,"LOUISIANA
(31.2931, -92.463284)",
DIST. OF COL.,2017,17,,-,0,,4,,,-,2,,,-,0,,1,,,-,2,,,-,0,,2,,,-,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
CONNECTICUT,2017,17,1,,8,,22,,92,,115,,,-,1,,7,,11,,67,,,-,1,,4,,17,,10,,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2017,17,,-,3,,9,,34,,47,,,-,1,,4,,8,,15,,,-,1,,10,,11,,17,,"NEVADA
(39.491833, -117.070159)",
VIRGIN ISL.,2017,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALASKA,2017,17,,-,1,,5,,11,,20,,,-,0,,3,,1,,5,,1,,0,,2,,6,,1,,"ALASKA
(64.836661, -147.738891)",
DELAWARE,2017,17,,-,2,,17,,12,,18,,,-,0,,2,,1,,3,,,-,1,,6,,17,,8,,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2017,17,19,,25,,65,,245,,264,,5,,4,,15,,44,,61,,3,,4,,12,,55,,53,,"NEW YORK
(42.826892, -75.544286)",
NEBRASKA,2017,17,5,,6,,14,,76,,56,,2,,2,,9,,23,,29,,,-,2,,12,,8,,69,,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2017,17,,-,11,,25,,105,,167,,,-,0,,0,,,-,,-,,-,0,,4,,2,,7,,"PUERTO RICO
(18.215692, -66.414655)",
GEORGIA,2017,17,8,,39,,160,,318,,373,,1,,2,,9,,32,,19,,,-,11,,29,,123,,251,,"GEORGIA
(32.836038, -83.631709)",
MONTANA,2017,17,4,,3,,22,,42,,44,,2,,2,,19,,17,,19,,,-,0,,2,,1,,3,,"MONTANA
(47.062617, -109.430168)",
NEW HAMPSHIRE,2017,17,1,,3,,10,,26,,37,,,-,0,,4,,6,,4,,,-,0,,3,,5,,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
